day,action,lockdown_level,S,E,I,R,D,Active,Total_Ever_Infected,new_infections,new_deaths,new_recoveries,A,U,rho_A,AS,US,AI,R_eff,beta_avg,base_economy,adjusted_economy,workforce_available,transmission_multiplier,cumulative_deaths,cumulative_infections
1,0,0,985,12,3,0,0,3,15,0,0,0,30,970,0.03,27,958,3,0.545552,0.03956142131979696,1.0,0.997,997,1.0,0,0
2,1,1,985,10,5,0,0,5,15,0,0,0,88,912,0.088,84,901,4,0.34630960000000005,0.02511309644670051,0.65,0.64675,995,0.65,0,0
3,1,1,985,6,9,0,0,9,15,0,0,0,182,818,0.182,177,808,5,0.33276880000000003,0.024131167512690357,0.65,0.64415,991,0.65,0,0
4,1,1,985,4,11,0,0,11,15,0,0,0,319,681,0.319,311,674,8,0.31325839999999994,0.022716345177664972,0.65,0.64285,989,0.65,0,0
5,1,1,982,3,15,0,0,15,18,3,0,0,405,595,0.405,395,587,10,0.299936,0.021816700610997962,0.65,0.64025,985,0.65,0,3
6,1,1,981,4,15,0,0,15,19,1,0,0,483,517,0.483,471,510,11,0.2885064,0.02100672782874618,0.65,0.64025,985,0.65,0,4
7,1,1,981,4,15,0,0,15,19,0,0,0,538,462,0.538,528,453,8,0.28020720000000005,0.02040244648318043,0.65,0.64025,985,0.65,0,4
8,1,1,981,4,15,0,0,15,19,0,0,0,557,443,0.557,549,432,7,0.27714960000000005,0.02017981651376147,0.65,0.64025,985,0.65,0,4
9,1,1,976,6,18,0,0,18,24,5,0,0,590,410,0.59,575,401,11,0.271544,0.019872950819672133,0.65,0.6383000000000001,982,0.65,0,9
10,1,1,974,6,20,0,0,20,26,2,0,0,612,388,0.612,593,381,13,0.2681952000000001,0.019668172484599594,0.65,0.637,980,0.65,0,11
11,1,1,973,7,18,2,0,18,27,1,0,2,623,377,0.623,608,365,8,0.2656472000000001,0.019501336073997948,0.65,0.6383000000000001,982,0.65,0,12
12,1,1,971,7,19,3,0,19,29,2,0,1,640,360,0.64,622,349,11,0.2628808,0.019338002059732236,0.65,0.6376499999999999,981,0.65,0,14
13,1,1,970,7,20,3,0,20,30,1,0,0,603,397,0.603,586,384,13,0.26775839999999995,0.019717113402061854,0.65,0.637,980,0.65,0,15
14,1,1,967,7,22,4,0,22,33,3,0,1,623,377,0.623,603,364,13,0.26419120000000007,0.01951478800413651,0.65,0.6357,978,0.65,0,18
15,1,1,964,9,22,5,0,22,36,3,0,1,627,373,0.627,601,363,17,0.2633904,0.01951618257261411,0.65,0.6357,978,0.65,0,21
16,1,1,963,7,22,8,0,22,37,1,0,3,618,382,0.618,592,371,17,0.26433680000000004,0.019606645898234683,0.65,0.6357,978,0.65,0,22
17,1,1,962,5,20,13,0,20,38,1,0,5,624,376,0.624,601,361,15,0.2626624000000001,0.019502702702702705,0.65,0.637,980,0.65,0,23
18,1,1,959,5,23,13,0,23,41,3,0,0,635,365,0.635,609,350,17,0.2604056,0.019395620437956205,0.65,0.6350500000000001,977,0.65,0,26
19,1,1,955,8,24,13,0,24,45,4,0,0,627,373,0.627,596,359,19,0.2608424,0.019509528795811516,0.65,0.6344,976,0.65,0,30
20,1,1,951,8,26,15,0,26,49,4,0,2,632,368,0.632,602,349,20,0.25851280000000004,0.019416614090431127,0.65,0.6331,974,0.65,0,34
21,1,1,948,9,26,17,0,26,52,3,0,2,618,382,0.618,586,362,19,0.2597504,0.019571308016877637,0.65,0.6331,974,0.65,0,37
22,1,1,948,6,25,21,0,25,52,0,0,4,588,412,0.588,555,393,13,0.264264,0.019911392405063292,0.65,0.63375,975,0.65,0,37
23,1,1,946,5,27,22,0,27,54,2,0,1,588,412,0.588,552,394,16,0.2639728,0.019931501057082454,0.65,0.6324500000000001,973,0.65,0,39
24,1,1,943,5,29,23,0,29,57,3,0,1,597,403,0.597,562,381,19,0.26142479999999996,0.019801908801696712,0.65,0.63115,971,0.65,0,42
25,1,1,941,6,27,26,0,27,59,2,0,3,635,365,0.635,595,346,19,0.25589200000000006,0.0194240170031881,0.65,0.6324500000000001,973,0.65,0,44
26,1,1,938,10,26,26,0,26,62,4,0,1,635,365,0.635,596,342,18,0.2546544,0.019391897654584222,0.65,0.6331,974,0.65,0,48
27,1,1,938,8,28,26,0,28,62,1,0,1,631,369,0.631,586,352,22,0.25611039999999996,0.019502771855010658,0.65,0.6318,972,0.65,0,49
28,1,1,936,6,31,27,0,31,64,2,0,1,612,388,0.612,567,369,25,0.2581488,0.0197,0.65,0.62985,969,0.65,0,51
