day,action,lockdown_level,S,E,I,R,D,Active,Total_Ever_Infected,new_infections,new_deaths,new_recoveries,A,U,rho_A,AS,US,AI,R_eff,beta_avg,base_economy,adjusted_economy,workforce_available,transmission_multiplier,cumulative_deaths,cumulative_infections
1,0,0,985,14,1,0,0,1,15,0,0,0,31,969,0.031,30,955,1,0.54488,0.03951269035532995,1.0,0.999,999,1.0,0,0
2,2,2,985,10,5,0,0,5,15,0,0,0,78,922,0.078,71,914,5,0.21427840000000004,0.015538680203045687,0.4,0.398,995,0.4,0,0
3,2,2,984,9,7,0,0,7,16,1,0,0,160,840,0.16,155,829,5,0.20652800000000002,0.01499186991869919,0.4,0.39720000000000005,993,0.4,0,1
4,2,2,983,8,9,0,0,9,17,1,0,0,225,775,0.225,218,765,5,0.20065920000000004,0.01458067141403866,0.4,0.39640000000000003,991,0.4,0,2
5,2,2,983,2,15,0,0,15,17,0,0,0,302,698,0.302,295,688,7,0.19376000000000004,0.014079348931841304,0.4,0.394,985,0.4,0,2
6,2,2,983,2,15,0,0,15,17,0,0,0,429,571,0.429,420,563,8,0.18256,0.013265513733468973,0.4,0.394,985,0.4,0,2
7,2,2,983,1,16,0,0,16,17,0,0,0,476,524,0.476,469,514,6,0.17816959999999998,0.01294649033570702,0.4,0.3936,984,0.4,0,2
8,2,2,982,1,17,0,0,17,18,1,0,0,540,460,0.54,527,455,12,0.17274880000000004,0.012565376782077396,0.4,0.39320000000000005,983,0.4,0,3
9,2,2,980,3,17,0,0,17,20,2,0,0,553,447,0.553,543,437,7,0.17086720000000002,0.01245387755102041,0.4,0.39320000000000005,983,0.4,0,5
10,2,2,978,5,14,3,0,14,22,2,0,3,551,449,0.551,537,441,11,0.17095680000000005,0.012485889570552149,0.4,0.39440000000000003,986,0.4,0,7
11,2,2,977,6,13,4,0,13,23,1,0,1,577,423,0.577,562,415,10,0.1684928,0.012318526100307063,0.4,0.3948,987,0.4,0,8
12,2,2,977,5,13,5,0,13,23,0,0,1,605,395,0.605,591,386,8,0.1658944,0.012128556806550665,0.4,0.3948,987,0.4,0,8
13,2,2,975,3,14,8,0,14,25,2,0,3,645,355,0.645,628,347,11,0.1621312,0.01187774358974359,0.4,0.39440000000000003,986,0.4,0,10
14,2,2,975,2,13,10,0,13,25,1,0,3,635,365,0.635,618,357,9,0.1630272,0.011943384615384616,0.4,0.3948,987,0.4,0,11
15,2,2,975,1,14,10,0,14,25,0,0,0,638,362,0.638,622,353,8,0.1626688,0.011917128205128205,0.4,0.39440000000000003,986,0.4,0,11
16,2,2,975,1,13,11,0,13,25,0,0,1,660,340,0.66,645,330,7,0.16060800000000003,0.011766153846153848,0.4,0.3948,987,0.4,0,11
17,2,2,974,1,14,11,0,14,26,1,0,0,616,384,0.616,598,376,9,0.16459520000000002,0.01207063655030801,0.4,0.39440000000000003,986,0.4,0,12
18,2,2,971,4,14,11,0,14,29,3,0,0,610,390,0.61,593,378,7,0.16437120000000005,0.012091452111225543,0.4,0.39440000000000003,986,0.4,0,15
19,2,2,970,2,16,12,0,16,30,1,0,1,640,360,0.64,622,348,10,0.16154880000000002,0.011896082474226806,0.4,0.3936,984,0.4,0,16
20,2,2,969,1,17,13,0,17,31,1,0,1,608,392,0.608,593,376,7,0.16392320000000005,0.012083384932920539,0.4,0.39320000000000005,983,0.4,0,17
21,2,2,969,0,17,14,0,17,31,0,0,1,602,398,0.602,584,385,11,0.1647296,0.012142827657378742,0.4,0.39320000000000005,983,0.4,0,17
22,2,2,968,1,13,18,0,13,32,1,0,4,613,387,0.613,590,378,7,0.163968,0.01209917355371901,0.4,0.3948,987,0.4,0,18
23,2,2,969,1,12,18,0,12,31,0,0,1,634,366,0.634,615,354,5,0.16195200000000004,0.01193808049535604,0.4,0.39520000000000005,988,0.4,0,18
24,2,2,969,1,10,20,0,10,31,0,0,2,617,383,0.617,601,368,4,0.16320640000000003,0.012030546955624357,0.4,0.396,990,0.4,0,18
25,2,2,969,1,9,21,0,9,31,0,0,1,629,371,0.629,609,360,6,0.1624896,0.011977708978328174,0.4,0.39640000000000003,991,0.4,0,18
26,2,2,968,2,9,21,0,9,32,1,0,0,615,385,0.615,596,372,4,0.1634304,0.012059504132231405,0.4,0.39640000000000003,991,0.4,0,19
27,2,2,967,2,9,22,0,9,33,1,0,1,619,381,0.619,604,363,3,0.1624896,0.012002481902792142,0.4,0.39640000000000003,991,0.4,0,20
28,2,2,966,3,8,23,0,8,34,1,0,1,648,352,0.648,628,338,4,0.16011520000000004,0.011839337474120085,0.4,0.3968,992,0.4,0,21
29,2,2,965,3,8,24,0,8,35,1,0,1,655,345,0.655,631,334,6,0.1596224,0.011815129533678756,0.4,0.3968,992,0.4,0,22
30,2,2,965,3,8,24,0,8,35,0,0,0,638,362,0.638,609,356,7,0.1615936,0.011961036269430052,0.4,0.3968,992,0.4,0,22
31,2,2,965,2,7,26,0,7,35,0,0,2,657,343,0.657,630,335,5,0.15971200000000002,0.01182176165803109,0.4,0.39720000000000005,993,0.4,0,22
32,2,2,965,2,5,28,0,5,35,0,0,2,652,348,0.652,630,335,3,0.15971200000000002,0.01182176165803109,0.4,0.398,995,0.4,0,22
33,2,2,965,0,6,28,1,6,35,0,1,0,627,372,0.627,605,360,6,0.161952,0.01198756476683938,0.4,0.39720000000000005,993,0.4,1,22
34,2,2,965,0,5,29,1,5,35,0,0,1,614,385,0.614,595,370,5,0.16284800000000002,0.012053886010362697,0.4,0.3976,994,0.4,1,22
35,2,2,964,1,5,29,1,5,36,1,0,0,628,371,0.628,610,354,3,0.16128,0.011950207468879669,0.4,0.3976,994,0.4,1,23
36,2,2,965,1,5,28,1,5,35,0,0,0,654,345,0.654,634,331,3,0.1593536,0.011795233160621763,0.4,0.3976,994,0.4,1,23
37,2,2,965,1,5,28,1,5,35,0,0,0,654,345,0.654,633,332,4,0.15944320000000003,0.011801865284974095,0.4,0.3976,994,0.4,1,23
38,2,2,965,2,5,27,1,5,35,1,0,0,632,367,0.632,611,354,2,0.1614144,0.01194777202072539,0.4,0.3976,994,0.4,1,24
39,2,2,964,2,6,27,1,6,36,1,0,0,630,369,0.63,607,357,6,0.16154880000000002,0.011970124481327803,0.4,0.39720000000000005,993,0.4,1,25
40,2,2,965,1,7,26,1,7,35,0,0,0,604,395,0.604,583,382,4,0.16392320000000005,0.012133471502590676,0.4,0.3968,992,0.4,1,25
41,2,2,965,1,6,27,1,6,35,0,0,1,598,401,0.598,580,385,2,0.16419200000000003,0.01215336787564767,0.4,0.39720000000000005,993,0.4,1,25
42,2,2,966,1,5,27,1,5,34,0,0,1,628,371,0.628,610,356,2,0.16172800000000004,0.011958592132505177,0.4,0.3976,994,0.4,1,25
43,2,2,965,2,4,28,1,4,35,1,0,1,628,371,0.628,609,356,2,0.1615936,0.011961036269430052,0.4,0.398,995,0.4,1,26
44,2,2,965,1,4,29,1,4,35,0,0,1,619,380,0.619,597,368,3,0.1626688,0.012040621761658031,0.4,0.398,995,0.4,1,26
45,2,2,965,1,3,30,1,3,35,0,0,1,634,365,0.634,611,354,2,0.1614144,0.01194777202072539,0.4,0.39840000000000003,996,0.4,1,26
46,2,2,964,1,4,30,1,4,36,1,0,0,624,375,0.624,601,363,4,0.16208640000000002,0.012009958506224067,0.4,0.398,995,0.4,1,27
47,2,2,963,2,4,30,1,4,37,1,0,0,642,357,0.642,619,344,4,0.16024960000000002,0.011886188992731049,0.4,0.398,995,0.4,1,28
48,2,2,963,2,4,30,1,4,37,0,0,0,650,349,0.65,629,334,4,0.1593536,0.011819730010384217,0.4,0.398,995,0.4,1,28
49,2,2,963,2,4,30,1,4,37,0,0,0,604,395,0.604,587,376,2,0.1631168,0.012098857736240915,0.4,0.398,995,0.4,1,28
50,2,2,963,2,3,31,1,3,37,0,0,1,626,373,0.626,607,356,2,0.16132480000000002,0.01196593977154725,0.4,0.39840000000000003,996,0.4,1,28
51,2,2,961,2,5,31,1,5,39,2,0,0,613,386,0.613,593,368,3,0.1621312,0.012050780437044746,0.4,0.3976,994,0.4,1,30
52,2,2,962,1,6,30,1,6,38,0,0,0,623,376,0.623,605,357,6,0.16128,0.011975051975051975,0.4,0.39720000000000005,993,0.4,1,30
53,2,2,962,1,5,31,1,5,38,0,0,1,637,362,0.637,617,345,5,0.1602048,0.011895218295218297,0.4,0.3976,994,0.4,1,30
54,2,2,962,1,5,31,1,5,38,0,0,0,633,366,0.633,608,354,4,0.16101120000000002,0.011955093555093556,0.4,0.3976,994,0.4,1,30
55,2,2,963,1,4,31,1,4,37,0,0,1,660,339,0.66,634,329,1,0.1589056,0.0117865005192108,0.4,0.398,995,0.4,1,30
56,2,2,962,1,5,31,1,5,38,1,0,0,656,343,0.656,629,333,3,0.1591296,0.011815384615384616,0.4,0.3976,994,0.4,1,31
57,2,2,962,0,6,31,1,6,38,0,0,0,635,364,0.635,612,350,3,0.1606528,0.011928482328482329,0.4,0.39720000000000005,993,0.4,1,31
58,2,2,962,0,5,32,1,5,38,0,0,1,639,360,0.639,615,347,0,0.160384,0.011908523908523908,0.4,0.3976,994,0.4,1,31
59,2,2,962,0,5,32,1,5,38,0,0,0,630,369,0.63,607,355,1,0.16110080000000002,0.011961746361746363,0.4,0.3976,994,0.4,1,31
60,2,2,964,0,5,30,1,5,36,0,0,0,639,360,0.639,617,347,3,0.16065280000000004,0.011903734439834026,0.4,0.3976,994,0.4,1,31
61,2,2,964,1,5,29,1,5,36,1,0,0,606,393,0.606,582,382,3,0.16378880000000004,0.012136099585062243,0.4,0.3976,994,0.4,1,32
62,2,2,965,1,3,30,1,3,35,0,0,2,625,374,0.625,603,362,0,0.1621312,0.012000829015544043,0.4,0.39840000000000003,996,0.4,1,32
63,2,2,966,1,3,29,1,3,34,0,0,0,621,378,0.621,598,368,1,0.16280320000000004,0.01203809523809524,0.4,0.39840000000000003,996,0.4,1,32
64,2,2,966,1,3,29,1,3,34,0,0,0,646,353,0.646,623,343,1,0.16056320000000002,0.011872463768115944,0.4,0.39840000000000003,996,0.4,1,32
65,2,2,966,1,3,29,1,3,34,0,0,0,680,319,0.68,655,311,2,0.15769599999999998,0.011660455486542442,0.4,0.39840000000000003,996,0.4,1,32
66,2,2,966,0,4,29,1,4,34,0,0,0,651,348,0.651,631,335,2,0.1598464,0.011819461697722567,0.4,0.398,995,0.4,1,32
67,2,2,966,0,3,30,1,3,34,0,0,1,669,330,0.669,649,317,2,0.1582336,0.011700207039337473,0.4,0.39840000000000003,996,0.4,1,32
68,2,2,966,1,2,30,1,2,34,1,0,1,640,359,0.64,618,348,1,0.16101120000000002,0.011905590062111802,0.4,0.3988,997,0.4,1,33
69,2,2,966,0,3,30,1,3,34,0,0,0,615,384,0.615,594,372,2,0.16316160000000005,0.012064596273291928,0.4,0.39840000000000003,996,0.4,1,33
70,2,2,966,1,3,29,1,3,34,1,0,0,614,385,0.614,591,375,3,0.1634304,0.01208447204968944,0.4,0.39840000000000003,996,0.4,1,34
71,2,2,966,1,3,29,1,3,34,0,0,0,634,365,0.634,613,353,3,0.16145920000000002,0.011938716356107663,0.4,0.39840000000000003,996,0.4,1,34
72,2,2,966,1,3,29,1,3,34,0,0,0,626,373,0.626,607,359,3,0.16199680000000002,0.011978467908902692,0.4,0.39840000000000003,996,0.4,1,34
73,2,2,966,1,2,30,1,2,34,0,0,1,623,376,0.623,598,368,2,0.16280320000000004,0.01203809523809524,0.4,0.3988,997,0.4,1,34
74,2,2,966,0,3,30,1,3,34,0,0,0,624,375,0.624,603,363,3,0.16235520000000003,0.012004968944099382,0.4,0.39840000000000003,996,0.4,1,34
75,2,2,966,0,2,31,1,2,34,0,0,1,643,356,0.643,623,343,1,0.16056320000000002,0.011872463768115944,0.4,0.3988,997,0.4,1,34
76,2,2,966,0,2,31,1,2,34,0,0,0,659,340,0.659,632,334,1,0.1597568,0.011812836438923396,0.4,0.3988,997,0.4,1,34
77,2,2,966,0,2,31,1,2,34,0,0,0,655,344,0.655,638,328,1,0.15921920000000003,0.011773084886128366,0.4,0.3988,997,0.4,1,34
78,2,2,965,1,2,31,1,2,35,1,0,0,652,347,0.652,632,333,2,0.1595328,0.011808497409326425,0.4,0.3988,997,0.4,1,35
79,2,2,965,1,2,31,1,2,35,0,0,0,625,374,0.625,606,359,2,0.1618624,0.011980932642487046,0.4,0.3988,997,0.4,1,35
80,2,2,965,1,3,30,1,3,35,1,0,0,620,379,0.62,599,366,2,0.1624896,0.012027357512953368,0.4,0.39840000000000003,996,0.4,1,36
81,2,2,964,2,3,30,1,3,36,1,0,0,634,365,0.634,611,353,2,0.1611904,0.01194356846473029,0.4,0.39840000000000003,996,0.4,1,37
82,2,2,963,1,5,30,1,5,37,1,0,0,627,372,0.627,603,360,5,0.16168320000000003,0.011992523364485983,0.4,0.3976,994,0.4,1,38
83,2,2,963,1,3,32,1,3,37,0,0,2,614,385,0.614,590,373,3,0.16284800000000002,0.012078920041536866,0.4,0.39840000000000003,996,0.4,1,38
84,2,2,963,1,3,32,1,3,37,0,0,0,626,373,0.626,608,355,2,0.16123520000000002,0.011959293873312566,0.4,0.39840000000000003,996,0.4,1,38
85,2,2,963,1,3,32,1,3,37,0,0,0,590,409,0.59,572,391,2,0.1644608,0.012198546209761163,0.4,0.39840000000000003,996,0.4,1,38
86,2,2,963,0,4,32,1,4,37,0,0,0,609,390,0.609,591,372,3,0.16275840000000003,0.012072274143302184,0.4,0.398,995,0.4,1,38
87,2,2,963,1,4,31,1,4,37,1,0,0,642,357,0.642,618,345,3,0.1603392,0.011892834890965731,0.4,0.398,995,0.4,1,39
88,2,2,963,2,4,30,1,4,37,1,0,0,602,397,0.602,581,382,3,0.16365440000000003,0.012138733125649016,0.4,0.398,995,0.4,1,40
89,2,2,962,1,6,30,1,6,38,1,0,0,631,368,0.631,608,354,5,0.16101120000000002,0.011955093555093556,0.4,0.39720000000000005,993,0.4,1,41
90,2,2,963,1,6,29,1,6,37,0,0,0,623,376,0.623,599,364,4,0.1620416,0.012019106957424716,0.4,0.39720000000000005,993,0.4,1,41
91,2,2,963,1,6,29,1,6,37,0,0,0,662,337,0.662,635,328,5,0.158816,0.011779854620976117,0.4,0.39720000000000005,993,0.4,1,41
92,2,2,963,1,5,30,1,5,37,0,0,1,695,304,0.695,669,294,5,0.1557696,0.011553894080996885,0.4,0.3976,994,0.4,1,41
93,2,2,962,1,6,30,1,6,38,1,0,0,682,317,0.682,660,302,6,0.15635200000000002,0.011609147609147611,0.4,0.39720000000000005,993,0.4,1,42
94,2,2,962,1,6,30,1,6,38,0,0,0,677,322,0.677,654,308,2,0.15688960000000005,0.011649064449064451,0.4,0.39720000000000005,993,0.4,1,42
95,2,2,962,1,6,30,1,6,38,0,0,0,645,354,0.645,621,341,3,0.1598464,0.01186860706860707,0.4,0.39720000000000005,993,0.4,1,42
96,2,2,962,1,5,31,1,5,38,0,0,1,635,364,0.635,607,355,2,0.16110080000000002,0.011961746361746363,0.4,0.3976,994,0.4,1,42
97,2,2,962,0,5,32,1,5,38,0,0,1,633,366,0.633,603,359,4,0.16145920000000002,0.01198835758835759,0.4,0.3976,994,0.4,1,42
98,2,2,962,0,5,32,1,5,38,0,0,0,616,383,0.616,589,373,3,0.16271359999999999,0.01208149688149688,0.4,0.3976,994,0.4,1,42
99,2,2,962,1,4,32,1,4,38,1,0,1,637,362,0.637,609,353,3,0.1609216,0.01194844074844075,0.4,0.398,995,0.4,1,43
100,2,2,962,1,4,32,1,4,38,0,0,0,605,394,0.605,576,386,3,0.1638784,0.012167983367983368,0.4,0.398,995,0.4,1,43
101,2,2,962,1,4,32,1,4,38,0,0,0,599,400,0.599,573,389,2,0.16414720000000005,0.01218794178794179,0.4,0.398,995,0.4,1,43
102,2,2,962,0,4,33,1,4,38,0,0,1,573,426,0.573,549,413,4,0.1662976,0.012347609147609148,0.4,0.398,995,0.4,1,43
103,2,2,962,1,4,32,1,4,38,1,0,0,597,402,0.597,574,388,3,0.16405760000000003,0.012181288981288983,0.4,0.398,995,0.4,1,44
104,2,2,963,1,4,31,1,4,37,0,0,0,618,381,0.618,592,371,4,0.16266879999999997,0.012065628245067496,0.4,0.398,995,0.4,1,44
105,2,2,964,1,3,31,1,3,36,0,0,1,643,356,0.643,620,344,2,0.16038400000000003,0.011883817427385894,0.4,0.39840000000000003,996,0.4,1,44
106,2,2,965,1,3,30,1,3,35,0,0,0,633,366,0.633,610,355,1,0.16150400000000004,0.011954404145077722,0.4,0.39840000000000003,996,0.4,1,44
107,2,2,964,1,3,31,1,3,36,1,0,1,647,352,0.647,622,342,2,0.1602048,0.011870539419087138,0.4,0.39840000000000003,996,0.4,1,45
108,2,2,963,2,3,31,1,3,37,1,0,0,577,422,0.577,553,410,2,0.16616319999999998,0.012324818276220145,0.4,0.39840000000000003,996,0.4,1,46
109,2,2,963,2,3,31,1,3,37,0,0,0,595,404,0.595,569,394,2,0.1647296,0.012218483904465213,0.4,0.39840000000000003,996,0.4,1,46
110,2,2,962,2,4,31,1,4,38,1,0,0,625,374,0.625,601,361,3,0.16163840000000002,0.012001663201663203,0.4,0.398,995,0.4,1,47
111,2,2,962,1,5,31,1,5,38,0,0,0,648,351,0.648,627,335,4,0.15930880000000003,0.01182869022869023,0.4,0.3976,994,0.4,1,47
112,2,2,962,0,6,31,1,6,38,0,0,0,615,384,0.615,594,368,2,0.16226560000000004,0.012048232848232851,0.4,0.39720000000000005,993,0.4,1,47
113,2,2,962,0,5,32,1,5,38,0,0,1,615,384,0.615,593,369,2,0.16235520000000003,0.012054885654885657,0.4,0.3976,994,0.4,1,47
114,2,2,961,1,4,33,1,4,39,1,0,1,643,356,0.643,618,343,3,0.15989119999999998,0.011884287200832466,0.4,0.398,995,0.4,1,48
115,2,2,962,1,4,32,1,4,38,0,0,0,625,374,0.625,601,361,1,0.16163840000000002,0.012001663201663203,0.4,0.398,995,0.4,1,48
116,2,2,962,1,4,32,1,4,38,0,0,0,633,366,0.633,608,354,1,0.16101120000000002,0.011955093555093556,0.4,0.398,995,0.4,1,48
117,2,2,963,0,5,31,1,5,37,0,0,0,629,370,0.629,606,357,3,0.1614144,0.011972585669781932,0.4,0.3976,994,0.4,1,48
118,2,2,963,1,3,32,1,3,37,1,0,2,615,384,0.615,593,370,3,0.16257920000000003,0.012058982346832815,0.4,0.39840000000000003,996,0.4,1,49
119,2,2,964,0,3,32,1,3,36,0,0,1,614,385,0.614,593,371,1,0.16280320000000004,0.01206307053941909,0.4,0.39840000000000003,996,0.4,1,49
120,2,2,964,0,3,32,1,3,36,0,0,0,637,362,0.637,619,345,2,0.1604736,0.01189045643153527,0.4,0.39840000000000003,996,0.4,1,49
121,2,2,964,0,3,32,1,3,36,0,0,0,651,348,0.651,628,336,1,0.15966720000000004,0.011830705394190873,0.4,0.39840000000000003,996,0.4,1,49
122,2,2,964,0,2,33,1,2,36,0,0,1,638,361,0.638,614,350,1,0.1609216,0.011923651452282158,0.4,0.3988,997,0.4,1,49
123,2,2,964,0,2,33,1,2,36,0,0,0,633,366,0.633,610,354,1,0.16128,0.011950207468879669,0.4,0.3988,997,0.4,1,49
124,2,2,964,0,2,33,1,2,36,0,0,0,624,375,0.624,601,363,1,0.16208640000000002,0.012009958506224067,0.4,0.3988,997,0.4,1,49
125,2,2,964,0,2,33,1,2,36,0,0,0,589,410,0.589,568,396,1,0.16504320000000003,0.01222904564315353,0.4,0.3988,997,0.4,1,49
126,2,2,964,0,2,33,1,2,36,0,0,0,605,394,0.605,583,381,1,0.16369920000000002,0.012129460580912865,0.4,0.3988,997,0.4,1,49
127,2,2,964,0,2,33,1,2,36,0,0,0,618,381,0.618,598,366,1,0.16235520000000003,0.012029875518672201,0.4,0.3988,997,0.4,1,49
128,2,2,964,0,1,34,1,1,36,0,0,1,618,381,0.618,598,366,1,0.16235520000000003,0.012029875518672201,0.4,0.39920000000000005,998,0.4,1,49
129,2,2,965,0,1,33,1,1,35,0,0,0,610,389,0.61,590,375,1,0.16329600000000002,0.012087046632124353,0.4,0.39920000000000005,998,0.4,1,49
